ProductID,ProductName,Category,Price,Quantity
ddf5687d-a6c5-434b-8230-feb41c37a9a7,eight,Accessories,993.23,20
00339383-0ec2-4bd4-8265-58c26dd7dc8e,police,Electronics,807.8,99
589b253c-1370-418f-aa13-e80fbf90c263,my,Software,246.53,30
be7f3ab4-a8b1-4f16-9792-a05c876b1b97,choice,Software,727.81,85
68d6526b-57aa-4ac9-b0d0-35efa0e49ac7,need,Electronics,148.75,24
bcec952c-5a9f-4ab6-b92e-736d38cd229d,would,Accessories,774.6,66
d1af228a-e7d1-4e9a-a1c6-99bdac5deb27,exactly,Accessories,219.53,14
c67605f7-3025-4a08-94db-6f08bcf7ffb8,protect,Software,768.45,78
50cd5e83-cdb5-4d86-b51e-47714a3f47bd,firm,Accessories,872.02,73
e80bf227-db2e-4f05-87a5-a707b08becb3,list,Software,673.5,23
51340dd0-e11a-4900-91fb-4ec57415325b,choice,Accessories,214.15,62
cdb66573-fb69-436b-92be-51b1502815dc,hear,Electronics,834.13,16
2aec9f2f-2ee1-4dcd-a89a-4dc0d8c6d06b,across,Electronics,279.2,12
4cce8425-1cb0-47df-88f0-b2a1a9da5730,good,Electronics,571.1,37
c5f3db6e-4d71-4f42-a1a5-8ddf50a9292e,president,Electronics,70.5,44
747ee4b4-9357-4c30-b532-7d0226a3249a,child,Software,891.32,36
4758d5ef-56fc-4555-bf87-75f6604c16af,send,Software,504.16,56
ed3f687f-72bd-4eb1-afc5-9eac70c5c21b,grow,Accessories,405.23,37
bcdf898a-568a-46a3-ae07-66c1170eb695,month,Electronics,271.07,76
be7cf8b8-f607-4564-8a33-f8213a1b4f48,just,Electronics,590.14,85
053da22a-5646-4f74-a3df-8ef53d7ab22e,him,Accessories,146.17,91
c5117398-b935-4581-9ef0-2d3ac4c93ad8,land,Accessories,542.33,23
0c1b530e-d7f2-4d54-a57b-a69add3a2476,sea,Accessories,30.48,81
4e9317bd-056d-4b23-ba5e-1d5711d7a0e0,my,Accessories,593.82,97
5d59625c-b046-4c58-861a-508b8a084161,piece,Accessories,451.37,95
8cbe3665-8a6f-4759-81e9-73029120cfdc,this,Electronics,267.97,97
9f9bc583-ed54-45c5-82cd-bc183772500d,realize,Electronics,181.01,91
d5ecb6aa-ae98-4c27-9728-20cd00b2bbca,stage,Accessories,791.43,81
e29631f6-1d09-491e-a55e-8c28de8c2b23,boy,Accessories,949.97,38
c2278197-5c87-4d5f-aead-1316da3b9431,just,Software,715.71,24
9d1b53f6-2681-4fef-8ffe-2e061bcaf1bf,city,Accessories,123.66,45
57bcd5fb-ec6e-4fc8-b71d-b348cf8fada6,performance,Electronics,356.95,13
95e267cd-fb83-4b9f-9e93-a370cf3ba7b8,whatever,Accessories,974.5,54
b11db91b-bdec-4255-bbae-9ac52df748ec,court,Electronics,233.32,62
33e39cbd-5901-40fe-bf78-6df4b58d432c,item,Accessories,303.44,96
deb062dc-f35c-48b8-b012-53a566d2fa7d,try,Accessories,91.74,94
b9c6f99e-9b2d-4ff0-af4c-cc957717a8d7,here,Electronics,730.11,79
61189f01-a979-4703-a9dd-5c51ce06c329,make,Software,254.99,64
1dcf51ec-ea83-4b84-afc7-ac7a0e565b48,control,Accessories,757.91,29
c2e3ff1a-7acc-4ca1-8d16-ed4c103091b9,such,Electronics,273.89,87
77be471b-a04b-4e2a-9887-b8d9dd4c9927,little,Electronics,808.35,16
796d5449-6092-4652-ac18-d695f8824db6,drive,Software,651.32,12
baa19ae4-2912-4429-8e27-6557de86466e,night,Accessories,788.98,88
3433f9bd-7e82-4a88-b4d6-368e638bc54c,no,Software,33.39,69
5041c084-f5e0-4c93-9dc3-95987e9a785e,remain,Electronics,129.17,74
fd17451d-0514-49fa-ac97-6d045ce6ee9f,source,Accessories,208.26,25
589718d1-6a42-4bfd-9114-824713a8ab89,off,Accessories,538.2,61
473c436c-f9e2-4168-acd6-20259f018e1b,design,Electronics,678.59,29
8b08ddf7-1f19-47dd-943f-d544a27cdfb9,spend,Software,854.84,82
b7ab2503-5c98-4cff-83b2-4b553a522b9c,rather,Electronics,837.85,79
c0270d29-3232-4663-ab88-0ee13245350c,decade,Accessories,161.14,61
4f5824ce-1e75-4640-b6f5-38217ab58c84,such,Software,680.27,67
28438a25-cfa3-4306-8bdc-9e8930da2e03,show,Accessories,68.26,69
38eb7dfe-25f1-4e31-bf89-6811614c9ef1,easy,Accessories,926.9,21
12a817e3-134f-4b77-9fe1-046ad6c35958,wall,Software,152.88,89
83225b46-e431-453c-b6a0-de67ff060922,sound,Electronics,223.83,93
b2ce71d7-caca-43cc-913e-32c33648759c,figure,Software,413.65,88
4413c13e-661a-4ae4-8e49-bba032ed36a5,network,Electronics,497.87,65
f4b9da73-b4d5-4f55-8bc0-85fac99679e4,practice,Electronics,837.88,59
